"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12508","go to withdrawl page","","Thu Feb 27 10:37:11 IST 2025","passed","Thu Feb 27 10:37:24 IST 2025","","Customer login test","Customer login test","go to withdrawl page"
"","13049","login as SampleForm","","Thu Feb 27 10:14:12 IST 2025","passed","Thu Feb 27 10:14:25 IST 2025","","SampleForm login test","SampleForm login test","login as SampleForm"
"","13346","login as SampleFormfiledtest","","Thu Feb 27 10:20:05 IST 2025","failed","Thu Feb 27 10:20:18 IST 2025","","SampleForm login test","SampleForm login test","login as SampleFormfiledtest"
"","8118","Add custome page","","Thu Feb 27 10:38:31 IST 2025","passed","Thu Feb 27 10:38:39 IST 2025","","BankManager login test","BankManager login test","Add custome page"
"","6354","bankmanager login page","","Thu Feb 27 10:38:25 IST 2025","passed","Thu Feb 27 10:38:31 IST 2025","","BankManager login test","BankManager login test","bankmanager login page"
"","6990","Add openaccount page","","Thu Feb 27 10:38:39 IST 2025","passed","Thu Feb 27 10:38:46 IST 2025","","BankManager login test","BankManager login test","Add openaccount page"
"","4464","goto customertransaction page","","Thu Feb 27 10:37:24 IST 2025","passed","Thu Feb 27 10:37:28 IST 2025","","Customer login test","Customer login test","goto customertransaction page"
"","10114","lifetimemembership login test page","","Thu Feb 27 10:22:47 IST 2025","passed","Thu Feb 27 10:22:57 IST 2025","","lifetimememebership login page","lifetimememebership login page","lifetimemembership login test page"
"","16715","login as customerpage","","Thu Feb 27 10:36:54 IST 2025","passed","Thu Feb 27 10:37:11 IST 2025","","Customer login test","Customer login test","login as customerpage"
"","1465","Add customer page","","Thu Feb 27 10:38:46 IST 2025","passed","Thu Feb 27 10:38:48 IST 2025","","BankManager login test","BankManager login test","Add customer page"
